age,bay_area,cabernet,carneros,cases,cluster,estate,mendocino,merlot,napa,nonvariety,pinot,price,reserve,score,shiraz,sierra,sonoma,sth_coast,time,vineyard,washington,y00,y91,y92,y93,y94,y95,y96,y97,y98,y99
3,0,1,0,0.85,3,0,0,0,1,0,0,62.060005,0,93,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
5,0,1,0,0.35,3,0,0,0,1,0,0,52.0,0,84,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0.1,3,0,0,0,0,0,1,41.599998,0,88,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0.45999999999999996,3,0,1,0,0,0,0,46.799999,1,86,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
4,0,1,0,0.576,3,0,0,0,1,0,0,57.199997,0,89,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,0,0.615,3,0,0,0,0,0,0,66.0,0,90,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0
3,0,1,0,0.6759999999999999,3,0,0,0,1,0,0,48.959999,1,88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,1.2650000000000001,3,0,0,0,0,0,0,61.200005,0,92,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0.7,3,0,0,1,1,0,0,55.000004,0,91,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0.7,3,0,0,0,1,0,0,48.149998,0,94,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,2.638,3,0,0,1,0,0,0,56.099998,0,92,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3,0,1,0,0.15,3,0,0,0,0,0,0,59.289997,1,95,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0
3,0,0,0,0.199,3,0,0,0,0,0,1,46.799999,0,87,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,1.436,3,0,0,0,1,1,0,49.499996,0,87,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
2,1,0,0,1.0,3,0,0,0,0,0,1,40.800003,0,87,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4,0,1,0,45.5,3,0,0,0,0,0,0,57.780003,0,88,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0
2,0,1,0,1.5,3,0,0,0,1,0,0,52.0,0,83,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,0,0.35,3,0,0,0,0,0,0,48.959999,1,86,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0
