age,bay_area,cabernet,carneros,cases,cluster,estate,mendocino,merlot,napa,nonvariety,pinot,price,reserve,score,shiraz,sierra,sonoma,sth_coast,time,vineyard,washington,y00,y91,y92,y93,y94,y95,y96,y97,y98,y99
3,0,0,0,0.3,1,0,0,0,0,0,1,27.120001,0,86,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0
3,0,1,0,0.5,1,0,1,0,0,0,0,32.100002,1,90,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1.6350000000000002,1,0,1,0,0,0,1,25.500002,0,84,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,0,1,0,0.8,1,0,0,0,1,0,0,27.039999,0,82,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,1.15,1,0,0,1,0,0,0,26.4,0,84,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,1.639,1,0,0,1,0,0,0,31.199999,0,83,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,2.6,1,0,0,1,1,0,0,24.199999,0,85,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,3.0,1,0,0,1,1,0,0,29.960003,0,88,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,0,0.095,1,0,0,0,0,0,0,24.960001,0,84,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0.45,1,0,0,0,0,0,0,30.000002,0,87,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,0,1,0,3.2479999999999998,1,0,0,0,0,0,0,24.960001,0,89,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0
3,0,0,0,1.06,1,0,0,0,1,0,0,29.58,0,86,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0.1,1,0,0,0,1,0,0,32.200001,0,92,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0.325,1,0,0,0,1,0,1,29.9,1,86,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,0,8.4,1,0,0,0,1,0,0,33.280003,0,89,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,3.4,1,0,0,0,1,1,0,34.5,0,93,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0.025,1,0,0,0,1,0,1,30.249998,0,79,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,0.3,1,0,0,0,1,0,0,28.0,0,87,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,0,1,0,2.0,1,0,0,0,0,0,0,26.91,1,85,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0
4,0,1,0,2.8,1,0,0,0,0,0,0,33.880001,0,91,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0
3,0,1,0,0.79,1,0,0,0,1,0,0,32.200001,0,94,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0.6,1,0,0,1,0,0,0,28.249998,0,86,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0.363,1,0,0,0,0,0,0,25.500002,0,86,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,5.7,1,0,0,0,0,0,0,32.200001,1,89,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0.5,1,0,0,0,0,0,0,29.249996,0,88,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0.9,1,0,0,0,0,0,0,31.029999,0,89,0,0,1,0,4,1,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0.65,1,0,0,0,1,0,0,35.000004,0,91,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,5.0,1,0,0,0,1,1,0,28.749998,0,89,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,0,4.35,1,1,0,0,0,0,0,24.960001,0,90,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0
3,0,0,0,1.05,1,0,0,0,1,0,0,26.0,0,86,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0.42400000000000004,1,0,0,0,0,0,0,27.500002,0,88,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,1,1.7,1,0,0,0,0,0,1,24.800001,0,78,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,1.8,1,0,0,0,0,0,1,29.700001,1,88,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0.9,1,0,0,1,0,0,0,28.749998,0,89,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,1,0,0,0.22999999999999998,1,0,0,0,0,0,1,34.239998,0,92,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0.2,1,0,0,1,1,0,0,30.249998,1,89,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,0.833,1,0,0,0,0,0,0,30.000002,0,84,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3,0,1,0,0.6,1,0,1,0,0,0,0,27.540001,0,84,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0.9,1,0,0,0,1,0,0,31.029999,0,89,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0.504,1,0,0,1,0,0,0,30.509998,1,88,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0.06999999999999999,1,0,1,0,0,0,1,32.200001,0,92,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0
2,0,1,0,2.252,1,0,0,0,1,0,0,27.6,0,91,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,1.8,1,0,0,1,0,0,0,32.760002,1,89,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0.475,1,0,0,0,1,0,0,26.0,0,91,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0.596,1,0,0,0,1,1,0,25.299999,0,84,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,0,0.9,1,0,0,0,1,0,0,28.6,0,89,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
4,0,1,0,50.0,1,0,0,0,0,0,0,46.799999,0,88,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1.0,1,0,0,0,0,0,0,26.0,0,85,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,1,0.3,1,0,0,1,0,0,0,30.799999,0,87,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,2.8,1,0,0,0,1,0,0,27.120001,0,91,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,20.552,1,0,0,1,1,0,0,43.68,0,85,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0.8,1,0,0,0,0,0,0,26.4,0,87,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0.44000000000000006,1,0,0,1,0,0,0,25.68,0,87,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,0,15.4,1,0,0,0,1,0,0,44.939999,0,92,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0.9,1,0,0,1,1,0,0,25.299999,0,87,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0.6,1,0,0,1,0,0,0,25.41,0,89,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0
3,0,1,0,1.72,1,0,0,0,0,0,0,24.800001,1,89,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0
4,0,1,0,4.74,1,0,0,0,0,0,0,30.600002,0,88,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0
