dateid01,gdp
1984-01-01,7.1406
1984-04-01,7.266
1984-07-01,7.3375
1984-10-01,7.396
1985-01-01,7.4695
1985-04-01,7.5379
1985-07-01,7.6552
1985-10-01,7.7126
1986-01-01,7.7841000000000005
1986-04-01,7.8198
1986-07-01,7.8986
1986-10-01,7.9395
1987-01-01,7.995
1987-04-01,8.0847
1987-07-01,8.158
1987-10-01,8.2927
1988-01-01,8.3393
1988-04-01,8.4495
1988-07-01,8.498299999999999
1988-10-01,8.610899999999999
1989-01-01,8.697700000000001
1989-04-01,8.7661
1989-07-01,8.8315
1989-10-01,8.850200000000001
1990-01-01,8.9471
1990-04-01,8.9817
1990-07-01,8.9839
1990-10-01,8.907399999999999
1991-01-01,8.8656
1991-04-01,8.9344
1991-07-01,8.9773
1991-10-01,9.016399999999999
1992-01-01,9.123
1992-04-01,9.2235
1992-07-01,9.3132
1992-10-01,9.4065
1993-01-01,9.424100000000001
1993-04-01,9.4801
1993-07-01,9.526299999999999
1993-10-01,9.6535
1994-01-01,9.7482
1994-04-01,9.8814
1994-07-01,9.9397
1994-10-01,10.0525
1995-01-01,10.0869
1995-04-01,10.1221
1995-07-01,10.2088
1995-10-01,10.2812
1996-01-01,10.348700000000001
1996-04-01,10.529399999999999
1996-07-01,10.6268
1996-10-01,10.7391
1997-01-01,10.8209
1997-04-01,10.984200000000001
1997-07-01,11.124
1997-10-01,11.2103
1998-01-01,11.321200000000001
1998-04-01,11.431
1998-07-01,11.5806
1998-10-01,11.770700000000001
1999-01-01,11.864700000000001
1999-04-01,11.9625
1999-07-01,12.113100000000001
1999-10-01,12.3233
2000-01-01,12.3591
2000-04-01,12.5925
2000-07-01,12.607700000000001
2000-10-01,12.6793
2001-01-01,12.6433
2001-04-01,12.7103
2001-07-01,12.6701
2001-10-01,12.7053
2002-01-01,12.822299999999998
2002-04-01,12.893
2002-07-01,12.9558
2002-10-01,12.964
2003-01-01,13.0312
2003-04-01,13.1521
2003-07-01,13.372399999999999
2003-10-01,13.5287
2004-01-01,13.6065
2004-04-01,13.7062
2004-07-01,13.8308
2004-10-01,13.9504
2005-01-01,14.0991
2005-04-01,14.1727
2005-07-01,14.291799999999999
2005-10-01,14.3734
2006-01-01,14.546100000000001
2006-04-01,14.5896
2006-07-01,14.6026
2006-10-01,14.716899999999999
2007-01-01,14.726
2007-04-01,14.838700000000001
2007-07-01,14.9385
2007-10-01,14.9918
2008-01-01,14.8895
2008-04-01,14.9634
2008-07-01,14.8916
2008-10-01,14.577
2009-01-01,14.375
2009-04-01,14.3556
2009-07-01,14.4025
2009-10-01,14.5419
2010-01-01,14.6048
2010-04-01,14.745899999999999
2010-07-01,14.8455
2010-10-01,14.939
2011-01-01,14.8813
2011-04-01,14.989600000000001
2011-07-01,15.0211
2011-10-01,15.190299999999999
2012-01-01,15.291
2012-04-01,15.3624
2012-07-01,15.380799999999999
2012-10-01,15.3843
2013-01-01,15.4919
2013-04-01,15.521600000000001
2013-07-01,15.6413
2013-10-01,15.793899999999999
2014-01-01,15.747
2014-04-01,15.900799999999998
2014-07-01,16.0945
2014-10-01,16.186700000000002
2015-01-01,16.269
2015-04-01,16.374200000000002
2015-07-01,16.454900000000002
2015-10-01,16.4907
2016-01-01,16.525
2016-04-01,16.583099999999998
2016-07-01,16.727
2016-10-01,16.8048
