x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
3.69,115.3463251632007,93.81031336994,109.0537622149178,130.8790339603395,103.6085532800036,76.5239320715206,101.1109979550374,115.7876380954477,133.2920249008168,147.6241668746165
4.39,97.33859839808908,115.3963376666172,97.10152087505801,113.3176380599155,88.8931302341454,124.4883132293635,130.7700935676089,134.3229607211018,91.60927164101562,108.1874033234069
4.75,96.98326134521345,137.8839178619577,113.0013308945964,128.4742891521532,107.9220722199647,123.824128861436,147.2947931491297,125.4377883133351,175.7178951600307,96.0360429217424
6.03,141.836580739524,142.501519248187,154.897842258297,114.3247242678106,110.9754668613394,101.0794519212544,140.458306646655,162.3449411046373,137.0135919471993,82.7119795215774
12.47,101.0945298087252,241.8568289094201,166.1038845761377,133.2578240063957,209.5452914913614,191.3503138677838,233.4399098861641,203.4336052955707,161.3819938723099,275.751391097012
12.98,147.2759898655702,218.4661945959841,321.9383543920995,124.0806028636336,157.8620437347936,154.7609431051709,339.0248131807435,124.5156869780506,213.7895300198145,181.5238448155371
14.2,235.1233001513456,255.7586978815522,281.4283726046094,239.731184049423,191.7047290127779,179.4645882690057,219.4180325505104,130.8508578466831,266.1196952935386,339.6816186700662
14.76,210.4218602014027,287.3008691471144,266.1562791762101,191.3446814757909,162.4434776851102,212.3987290283096,205.2061962401249,267.0066906387701,313.2867639175534,212.8790307841062
15.32,257.0850134074439,253.4054075646543,222.4054578165473,210.6385777053839,105.2060762102156,246.0594336125916,228.4405064869806,207.2540297454118,236.3802195554241,207.1497530696639
16.39,297.3373030091018,332.8653893135308,262.4489430991723,263.7398993292374,368.1045232535273,233.1390741934387,162.319805374663,251.8980452020557,285.6349407771628,265.0268184258101
17.35,132.9212483601928,258.4670651679783,151.5523526363959,389.6490111122238,312.5857731683675,171.954385522414,292.4946101619133,207.1028650419753,204.9408380049798,264.859734996548
17.77,319.4618711273006,106.3980867655444,230.5903787916385,272.858648438962,371.3770356348295,323.7940696469003,193.9605764799284,314.6477356736883,196.8299084930675,317.2881119350853
17.93,254.4214354009179,264.9960256295147,252.0275629859358,244.6271282395127,328.3258321242639,287.5612051889318,346.1032598103186,279.9169606555468,236.240434212715,266.947737419328
18.43,242.6002338671332,193.1524837981817,266.6217662990907,233.4779927742883,301.2150656677969,199.1060397258631,296.1426020002776,246.0907789602387,281.4652817471,173.5421795310748
18.55,216.4922124072261,115.8877415252924,227.013897514858,260.5414403013217,252.7974009182922,146.235646151141,315.4372861662488,281.391902674046,227.4908297985265,349.7949496289332
18.8,362.1022957111084,276.5849834741063,220.2608515180402,250.6159177515365,167.7158985824516,243.4908078241327,309.1087304770044,148.5561603740956,154.9492044774596,398.4638678848972
18.81,235.0608066481127,243.8424334142559,232.9548928491605,264.8380002936127,208.5029703190993,272.4526583255072,292.1415335465516,310.1213485537323,181.6364188046964,183.4488250544762
19.04,373.6805902380247,255.2672668476977,264.4569071515766,411.3324406814497,246.883992302449,373.4462773343089,359.430788704761,294.4510357082447,222.2909969227435,289.2356566042016
19.22,148.6400676971173,260.4727723137909,296.7151920969419,102.3652511957558,228.4197944492514,245.4928131855819,304.5011987005167,343.5815668482645,218.4611865059953,264.9249844640998
19.93,365.4666179542444,266.8955132593895,263.2616215619521,323.8938018998851,280.6638026596015,306.4099175944808,223.2948738251364,316.9360010787248,303.2429555695607,490.7033911189678
20.13,313.2606640307598,183.3756475067669,353.6227684255592,348.4342482019829,344.2063438717851,379.0246268819092,231.9175118559933,377.8180482989084,283.4938872423048,228.5321173790739
20.33,255.0372163173637,368.5221025095397,332.5469073458742,323.6044208604529,236.4971553477124,253.1860786566434,211.8889765940273,271.7245751367231,205.5804369182469,383.7974864040064
20.37,253.6115866140129,199.7879995391731,134.579720773509,267.2218596584585,303.1217577508031,403.2665199306898,358.178122030055,9.086995581492658,122.5335476503335,385.2554468383895
20.43,249.7304287644833,209.8840298075323,301.9691180311171,81.60793423087284,209.7164543423632,272.5730910654131,194.7198129387504,314.0219349729093,246.4384474794114,148.6539854708705
21.45,309.1405485828916,280.230100395672,217.7498906865975,396.4452401438358,311.5932764422526,316.2337294831424,188.6996332245883,374.4405288365808,357.728122485776,235.8709261422135
22.52,317.7745494979857,292.2755572436064,201.5155925187166,407.374842166109,283.6754564138021,366.7722636131823,258.3578944090241,313.0915019545615,331.5265437514242,221.3590338889763
22.55,292.61004555907,426.2902544662007,264.6740930766565,215.5099466374963,398.0868638475872,410.4170760718957,340.9122797835046,364.2752109861787,248.0469760839335,255.1049485599905
22.86,324.2041220138727,310.934341175179,480.9825375634703,344.5660143650821,341.4610042164316,296.9777935061957,345.8374904969821,386.0335686936671,408.4711925511067,191.4984207279422
24.2,307.3957201223281,277.8861812348765,419.9406284025947,293.2083969540046,396.2744230517495,403.0669390888661,415.5798381145706,419.6223614732986,272.9318331437331,234.4735400859949
24.39,230.3661478876299,390.1349338007667,193.4472128832142,303.9583475686112,388.1525547476883,239.314760691233,50.45435782830958,398.2159672094723,375.8290025549046,315.2944446470029
24.42,224.3592525042126,359.662659815093,375.2053789422716,237.3222087977218,288.1332167917939,226.7400943944693,463.2763406537618,326.2957440431966,339.0970347885295,333.2067874448469
25.2,231.8502951772071,391.1190237615682,392.361353212411,599.4169737221716,357.5381410479387,346.2038423286178,463.8412873448612,341.4778647627514,317.8071353762651,419.9701374559595
25.5,261.6148705239477,400.3141440184486,253.1894806439741,336.4281736656507,283.0145777961589,517.2483427779349,383.3740675324099,258.2773914931788,433.1336534951714,417.6268263437311
26.61,375.8551954328102,263.0319584500143,312.9126388577268,241.292820188804,236.6181476107095,199.3693177004597,468.0164421492224,342.4123533147362,395.1397704315349,515.5052267261826
26.7,453.253007454487,334.545266276422,447.2318205818405,433.0643241900899,143.5998873666923,278.6582170246196,312.4986038170661,369.5395784946244,320.0887796217863,54.34675088346711
27.14,359.4098453932249,368.8021617093717,383.1409767019702,133.9541869252992,543.1680934480441,218.8445649507101,275.0851050281011,370.9361044977721,233.4301050616344,309.6815429585564
27.16,212.8017841661769,195.9568620606866,290.5532837898071,315.665675839579,486.0693036841184,253.566808400174,493.2167310151855,288.2232472158832,253.4579100681517,330.1084020215224
28.62,334.7037166913407,367.3708278434091,-86.54258527766228,409.424981441105,346.0387228238566,147.9206573656263,486.3935567993138,450.3552804987323,224.4123738237892,96.78144222099263
29.4,277.2648672822461,374.346364301407,191.9907924024421,544.865728528601,293.2591566760838,356.6900852166001,254.0467906125471,308.4851994820585,587.0911938162163,194.7938138067989
33.4,271.9155213127118,330.1125801701288,380.2985955652867,408.480605218139,159.2784171482594,132.6352070994945,357.9242863067832,382.9063875261384,277.3067790187665,434.5489193411192
